form,lemma,upos,feats
united,unite,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
united,unite,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
united,unite,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
united,unite,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
look,look,VERB,{'VerbForm': 'Inf'}
experience,experience,VERB,{'VerbForm': 'Inf'}
focus,focus,VERB,{'VerbForm': 'Inf'}
have,have,VERB,{'VerbForm': 'Inf'}
look,look,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
involving,involve,VERB,{'VerbForm': 'Ger'}
making,make,VERB,{'VerbForm': 'Ger'}
takes,take,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
exploring,explore,VERB,{'VerbForm': 'Ger'}
inform,inform,VERB,{'VerbForm': 'Inf'}
describes,describe,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
focusing,focus,VERB,{'VerbForm': 'Ger'}
preserved,preserve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
built,build,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
focused,focus,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
completed,complete,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
report,report,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
provided,provide,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
viewing,view,VERB,{'VerbForm': 'Ger'}
assess,assess,VERB,{'VerbForm': 'Inf'}
written,write,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
discuss,discuss,VERB,{'VerbForm': 'Inf'}
brings,bring,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
established,establish,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
explore,explore,VERB,{'VerbForm': 'Inf'}
using,use,VERB,{'VerbForm': 'Ger'}
develops,develop,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
regarding,regard,VERB,{'VerbForm': 'Ger'}
gathers,gather,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
interspersed,intersperse,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
called,call,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
determined,determine,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
studying,study,VERB,{'VerbForm': 'Ger'}
offers,offer,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
depend,depend,VERB,{'VerbForm': 'Inf'}
highlighted,highlight,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
transform,transform,VERB,{'VerbForm': 'Inf'}
understand,understand,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
see,see,VERB,{'VerbForm': 'Inf'}
offers,offer,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
studying,study,VERB,{'VerbForm': 'Ger'}
preserved,preserve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
built,build,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
has,have,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
understood,understand,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
used,use,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}"
exploring,explore,VERB,{'VerbForm': 'Ger'}
are,be,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
investigate,investigate,VERB,{'VerbForm': 'Inf'}
look,look,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
evaluated,evaluate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
encouraged,encourage,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
approach,approach,VERB,{'VerbForm': 'Inf'}
investigated,investigate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}"
explore,explore,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
provides,provide,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
has,have,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
transform,transform,VERB,{'VerbForm': 'Inf'}
understand,understand,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
offer,offer,VERB,{'VerbForm': 'Inf'}
studying,study,VERB,{'VerbForm': 'Ger'}
assess,assess,VERB,{'VerbForm': 'Inf'}
play,play,VERB,{'VerbForm': 'Inf'}
determining,determine,VERB,{'VerbForm': 'Ger'}
establish,establish,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
influenced,influence,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
including,include,VERB,{'VerbForm': 'Ger'}
shows,show,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
lead,lead,VERB,{'VerbForm': 'Inf'}
improved,improve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
pairing,pair,VERB,{'VerbForm': 'Ger'}
complement,complement,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
augment,augment,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
shown,show,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
produce,produce,VERB,{'VerbForm': 'Inf'}
facilitate,facilitate,VERB,{'VerbForm': 'Inf'}
quantifying,quantify,VERB,{'VerbForm': 'Ger'}
remains,remain,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
measuring,measure,VERB,{'VerbForm': 'Ger'}
expanding,expand,VERB,{'VerbForm': 'Ger'}
understanding,understand,VERB,{'VerbForm': 'Ger'}
conducted,conduct,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
enhanced,enhance,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
is,be,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
making,make,VERB,{'VerbForm': 'Ger'}
define,define,VERB,{'VerbForm': 'Inf'}
vary,vary,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
establish,establish,VERB,{'VerbForm': 'Inf'}
organized,organize,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
approximates,approximate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
including,include,VERB,{'VerbForm': 'Ger'}
lack,lack,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
encompassing,encompass,VERB,{'VerbForm': 'Ger'}
distributed,distribute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
based,base,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
assembling,assemble,VERB,{'VerbForm': 'Ger'}
tended,tend,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
avoid,avoid,VERB,{'VerbForm': 'Inf'}
used,use,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
focused,focus,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
have,have,VERB,{'VerbForm': 'Inf'}
assembled,assemble,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}"
shed,shed,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
evolving,evolve,VERB,{'VerbForm': 'Ger'}
expanding,expand,VERB,{'VerbForm': 'Ger'}
offers,offer,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
changing,change,VERB,{'VerbForm': 'Ger'}
documents,document,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
provide,provide,VERB,{'VerbForm': 'Inf'}
suffer,suffer,VERB,{'VerbForm': 'Inf'}
inject,inject,VERB,{'VerbForm': 'Inf'}
provides,provide,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
make,make,VERB,{'VerbForm': 'Inf'}
investigate,investigate,VERB,{'VerbForm': 'Inf'}
washed,wash,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
masking,mask,VERB,{'VerbForm': 'Ger'}
present,present,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
based,base,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
assemble,assemble,VERB,{'VerbForm': 'Inf'}
using,use,VERB,{'VerbForm': 'Ger'}
adapted,adapt,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
used,use,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
collecting,collect,VERB,{'VerbForm': 'Ger'}
using,use,VERB,{'VerbForm': 'Ger'}
required,require,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
do,do,VERB,{'VerbForm': 'Inf'}
assembling,assemble,VERB,{'VerbForm': 'Ger'}
facilitate,facilitate,VERB,{'VerbForm': 'Inf'}
providing,provide,VERB,{'VerbForm': 'Ger'}
having,have,VERB,{'VerbForm': 'Ger'}
rely,rely,VERB,{'VerbForm': 'Inf'}
used,use,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
study,study,VERB,{'VerbForm': 'Inf'}
changes,change,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
evaluating,evaluate,VERB,{'VerbForm': 'Ger'}
meant,mean,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
broaden,broaden,VERB,{'VerbForm': 'Inf'}
improve,improve,VERB,{'VerbForm': 'Inf'}
applied,apply,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
elucidate,elucidate,VERB,{'VerbForm': 'Inf'}
relate,relate,VERB,{'VerbForm': 'Inf'}
benefit,benefit,VERB,{'VerbForm': 'Inf'}
recollected,recollect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
organized,organize,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}"
follows,follow,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
begin,begin,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
detailing,detail,VERB,{'VerbForm': 'Ger'}
present,present,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
demonstrates,demonstrate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
collecting,collect,VERB,{'VerbForm': 'Ger'}
comparing,compare,VERB,{'VerbForm': 'Ger'}
curated,curate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
collected,collect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
provides,provide,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
enabled,enable,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
uses,use,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}"
investigate,investigate,VERB,{'VerbForm': 'Inf'}
witnessed,witness,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
contributed,contribute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
analyzed,analyze,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}"
