org_base	org_derived	POS	derivation_prefix,deravation_suffix
Ёлшина	Ёлшиной	N.ADJ	
Ёма	Ёмый	N.ADJ	
Ааронов	Аароновый	N.ADJ	
Аароновый	Аарон	ADJ.N	,в.
Аароновый	Аароновы	ADJ.N	
Аахене	Аахенский	N.ADJ	,.ск
Абалаке	Абалакской	N.ADJ	,.ск
Абалакской	Абалакской	ADJ.N	
Абалкин	Абалкиный	N.ADJ	
Абалкиный	Абалкина	ADJ.N	
Абама	Абамый	N.ADJ	
Абамый	Абамы	ADJ.N	
Абанкиной	Абанкина	ADJ.N	
Абано	Абанский	N.ADJ	,.ск
Абашевскый	Абашев	ADJ.N	,ск.
Абашевскый	Абашева	ADJ.N	,ск.
Аббасидскый	Аббасид	ADJ.N	,ск.
Аббасиды	Аббасидский	N.ADJ	,.ск
Абдерскый	Абдеры	ADJ.N	,ск.
Абдуллин	Абдуллиный	N.ADJ	
Абдулой	Абдул	ADJ.N	
Абдурахим	Абдурахимый	N.ADJ	
Абдурахман	Абдурахмановый	N.ADJ	,.в
Абдурахмановый	Абдурахманова	ADJ.N	
Абдусаламый	Абдусалам	ADJ.N	
Абдусамат	Абдусамат	ADJ.N	
Абак	Абаканский	N.ADJ	,.анск
Абаканский	Абакана	ADJ.N	,ск.
Абакане	Абаканской	N.ADJ	,.ск
Абелевской	Абелев	ADJ.N	,ск.
Абельман	Абельмановской	N.ADJ	,.вск
Абидоса	Абидосский	N.ADJ	,.ск
Абинский	Абина	ADJ.N	,ск.
Абинскый	Абинск	ADJ.N	
Абинскый	Абинска	ADJ.N	
Аблязовый	Аблязова	ADJ.N	
Абдер	Абдерский	N.ADJ	,.ск
Абдерский	Абдерский	ADJ.N	
Абраамый	Абраам	ADJ.N	
Абраме	Абрамовой	N.ADJ	,.в
Абрамовой	Абрам	ADJ.N	,в.
Абрам	Абрамский	N.ADJ	,.ск
Абрамово	Абрамовной	N.ADJ	,.н
Абрамовной	Абрамова	ADJ.N	,н.
Абрамцевскый	Абрамцева	ADJ.N	,ск.
Абрамы	Абрамовской	N.ADJ	,.вск
Абрамовской	Абрамовской	ADJ.N	
Абрауский	Абрау	ADJ.N	,ск.
Абрахама	Абрахамый	N.ADJ	
Абрикосовскый	Абрикосовка	ADJ.N	,ск.к
Абшеронскый	Абшерон	ADJ.N	,ск.
Абызовый	Абызово	ADJ.N	
Аванесов	Аванесовый	N.ADJ	
Авано	Аваный	N.ADJ	
Авачи	Авачинский	N.ADJ	,.инск
Августина	Августиной	N.ADJ	
Авдеев	Авдеевской	N.ADJ	,.ск
Авдеево	Авдеевский	N.ADJ	,.ск
Авдеевский	Авдеевка	ADJ.N	,ск.к
Авдотье	Авдотьий	N.ADJ	,.ь
Авдотья	Авдотьиный	N.ADJ	,.ьин
Аверин	Авериной	N.ADJ	
Аверинцевый	Аверинцев	ADJ.N	
Аверкий	Аверкий	ADJ.N	
Аверкий	Аверкиевой	N.ADJ	,.иев
Аверкиевой	Аверкиева	ADJ.N	
Авиалесоохране	Авиалесоохраной	N.ADJ	
Авиановой	Авианова	ADJ.N	
Авив	Авивый	N.ADJ	
Авину	Авину	ADJ.N	
Авиньона	Авиньонский	N.ADJ	,.ск
Авиньонскый	Авиньон	ADJ.N	,ск.
Авиценной	Авиценна	ADJ.N	
Авиценной	Авиценны	ADJ.N	
Аврааме	Авраамий	N.ADJ	
Авраамий	Авраамы	ADJ.N	
Авраамий	Авраамий	ADJ.N	
Аврааме	Авраамовый	N.ADJ	,.в
