Ёлшина	Ёлшиной	N.ADJ
Ёма	Ёмый	N.ADJ
Ааронов	Аароновый	N.ADJ
Аароновый	Аарон	ADJ.N
Аароновый	Аароновы	ADJ.N
Аахене	Аахенский	N.ADJ
Абалаке	Абалакской	N.ADJ
Абалакской	Абалакской	ADJ.N
Абалкин	Абалкиный	N.ADJ
Абалкиный	Абалкина	ADJ.N
Абама	Абамый	N.ADJ
Абамый	Абамы	ADJ.N
Абанкиной	Абанкина	ADJ.N
Абано	Абанский	N.ADJ
Абашевскый	Абашев	ADJ.N
Абашевскый	Абашева	ADJ.N
Аббасидскый	Аббасид	ADJ.N
Аббасиды	Аббасидский	N.ADJ
Абдерскый	Абдеры	ADJ.N
Абдуллин	Абдуллиный	N.ADJ
Абдулой	Абдул	ADJ.N
Абдурахим	Абдурахимый	N.ADJ
Абдурахман	Абдурахмановый	N.ADJ
Абдурахмановый	Абдурахманова	ADJ.N
Абдусаламый	Абдусалам	ADJ.N
Абдусамат	Абдусамат	ADJ.N
Абак	Абаканский	N.ADJ
Абаканский	Абакана	ADJ.N
Абакане	Абаканской	N.ADJ
Абелевской	Абелев	ADJ.N
Абельман	Абельмановской	N.ADJ
Абидоса	Абидосский	N.ADJ
Абинский	Абина	ADJ.N
Абинскый	Абинск	ADJ.N
Абинскый	Абинска	ADJ.N
Аблязовый	Аблязова	ADJ.N
Абдер	Абдерский	N.ADJ
Абдерский	Абдерский	ADJ.N
Абраамый	Абраам	ADJ.N
Абраме	Абрамовой	N.ADJ
Абрамовой	Абрам	ADJ.N
Абрам	Абрамский	N.ADJ
Абрамово	Абрамовной	N.ADJ
Абрамовной	Абрамова	ADJ.N
Абрамцевскый	Абрамцева	ADJ.N
Абрамы	Абрамовской	N.ADJ
Абрамовской	Абрамовской	ADJ.N
Абрауский	Абрау	ADJ.N
Абрахама	Абрахамый	N.ADJ
Абрикосовскый	Абрикосовка	ADJ.N
Абшеронскый	Абшерон	ADJ.N
Абызовый	Абызово	ADJ.N
Аванесов	Аванесовый	N.ADJ
Авано	Аваный	N.ADJ
Авачи	Авачинский	N.ADJ
Августина	Августиной	N.ADJ
Авдеев	Авдеевской	N.ADJ
Авдеево	Авдеевский	N.ADJ
Авдеевский	Авдеевка	ADJ.N
Авдотье	Авдотьий	N.ADJ
Авдотья	Авдотьиный	N.ADJ
Аверин	Авериной	N.ADJ
Аверинцевый	Аверинцев	ADJ.N
Аверкий	Аверкий	ADJ.N
Аверкий	Аверкиевой	N.ADJ
Аверкиевой	Аверкиева	ADJ.N
Авиалесоохране	Авиалесоохраной	N.ADJ
Авиановой	Авианова	ADJ.N
Авив	Авивый	N.ADJ
Авину	Авину	ADJ.N
Авиньона	Авиньонский	N.ADJ
Авиньонскый	Авиньон	ADJ.N
Авиценной	Авиценна	ADJ.N
Авиценной	Авиценны	ADJ.N
Аврааме	Авраамий	N.ADJ
Авраамий	Авраамы	ADJ.N
Авраамий	Авраамий	ADJ.N
Аврааме	Авраамовый	N.ADJ
Авраамову	Авраамову	ADJ.N
Авраме	Аврамовый	N.ADJ
Аврамый	Аврамчик	ADJ.N
Аврахам	Аврахамый	N.ADJ
Аврахамый	Аврахама	ADJ.N
Аврил	Аврилий	N.ADJ
Аврорин	Аврориной	N.ADJ
Автонома	Автономовой	N.ADJ
Автономовой	Автономова	ADJ.N
Агапиту	Агапитовой	N.ADJ
Агаповский	Агапов	ADJ.N
Агафоне	Агафоновой	N.ADJ
Агафоновой	Агафоновой	ADJ.N
Агванскый	Агван	ADJ.N
