org_base,org_derived,POS,derivation_process_prefix,derivation_process_suffix,base,derived,btd,dtb
Абрам,Абрамовой,N.ADJ,nan.nan,.в,Абрам,Абрамов,,в
Абраме,Абрамовой,N.ADJ,,.в,Абрам,Абрамов,,в
Александр,Александровой,N.ADJ,nan.nan,.в,Александр,Александров,,в
Александра,Александровой,N.ADJ,,.в,Александр,Александров,,в
Балаш,Балашовой,N.ADJ,nan.nan,.в,Балаш,Балашов,,в
Балаша,Балашовой,N.ADJ,,.в,Балаш,Балашов,,в
Велес,Велесовой,N.ADJ,nan.nan,.в,Велес,Велесов,,в
Велеса,Велесовой,N.ADJ,,.в,Велес,Велесов,,в
Гаврил,Гавриловой,N.ADJ,nan.nan,.в,Гаврил,Гаврилов,,в
Гавриле,Гавриловой,N.ADJ,,.в,Гаврил,Гаврилов,,в
Иван,Ивановый,N.ADJ,nan.nan,.в,Иван,Иванов,,в
Ивань,Ивановый,N.ADJ,,.в,Иван,Иванов,,в
Игнат,Игнатовый,N.ADJ,nan.nan,.в,Игнат,Игнатов,,в
Игната,Игнатовый,N.ADJ,,.в,Игнат,Игнатов,,в
Кирилл,Кирилловой,N.ADJ,nan.nan,.в,Кирилл,Кириллов,,в
Кирилл,Кириллов,N.ADJ,,.в,Кирилл,Кириллов,,в
Ларион,Ларионовой,N.ADJ,nan.nan,.в,Ларион,Ларионов,,в
Лариона,Ларионовой,N.ADJ,,.в,Ларион,Ларионов,,в
Максим,Максимовый,N.ADJ,nan.nan,.в,Максим,Максимов,,в
Максиме,Максимовый,N.ADJ,,.в,Максим,Максимов,,в
Мамед,Мамедовой,N.ADJ,nan.nan,.в,Мамед,Мамедов,,в
Мамеда,Мамедовой,N.ADJ,,.в,Мамед,Мамедов,,в
Осман,Османовый,N.ADJ,nan.nan,.в,Осман,Османов,,в
Османе,Османовый,N.ADJ,,.в,Осман,Османов,,в
Памфил,Памфиловой,N.ADJ,nan.nan,.в,Памфил,Памфилов,,в
Памфилы,Памфиловой,N.ADJ,,.в,Памфил,Памфилов,,в
Севастьян,Севастьяновый,N.ADJ,nan.nan,.в,Севастьян,Севастьянов,,в
Севастьяна,Севастьяновый,N.ADJ,,.в,Севастьян,Севастьянов,,в
Соломон,Соломоновой,N.ADJ,nan.nan,.в,Соломон,Соломонов,,в
Соломоне,Соломоновой,N.ADJ,,.в,Соломон,Соломонов,,в
Устин,Устиновый,N.ADJ,nan.nan,.в,Устин,Устинов,,в
Устина,Устиновый,N.ADJ,,.в,Устин,Устинов,,в
Филарет,Филаретовой,N.ADJ,nan.nan,.в,Филарет,Филаретов,,в
Филарете,Филаретовой,N.ADJ,,.в,Филарет,Филаретов,,в
Хамат,Хаматовой,N.ADJ,nan.nan,.в,Хамат,Хаматов,,в
Хамата,Хаматовой,N.ADJ,,.в,Хамат,Хаматов,,в
Эвклид,Эвклидовый,N.ADJ,nan.nan,.в,Эвклид,Эвклидов,,в
Эвклида,Эвклидовый,N.ADJ,,.в,Эвклид,Эвклидов,,в
сад,садовый,N.ADJ,nan.nan,.в,сад,садов,,в
садить,садовый,V.ADJ,,.в,сад,садов,,в
анилин,анилиновый,N.ADJ,nan.nan,.в,анилин,анилинов,,в
анилина,анилиновый,N.ADJ,,.в,анилин,анилинов,,в
антон,антоновый,N.ADJ,nan.nan,.в,антон,антонов,,в
антонить,антоновый,V.ADJ,,.в,антон,антонов,,в
банан,банановый,N.ADJ,nan.nan,.в,банан,бананов,,в
