,0
,19465
",в.",541
",.ск",3240
",ск.",2849
",.в",1854
",.анск",101
",.вск",749
",.н",3160
",н.",2622
",ск.к",313
",.инск",252
",.ь",121
",.ьин",5
",.иев",24
",.чик",85
",у.в",52
",.ц",132
",.ин",565
",.ьск",328
",ск.чик",30
",.уш",25
",.к",1362
",и.ск",127
",ан.",21
",.еск",244
",н.к",271
",ин.",81
",.ийск",91
",.ак",66
",йск.ин",6
",.йск",218
",.ан",154
",.юш",9
",йск.к",8
",и.н",688
",.иевск",9
",в.к",54
",.инк",19
",ск.ц",506
",.нн",645
",к.ин",6
",яск.",1
",.т",480
"А.а,.ическ",1
",ь.ск",6
",ийск.",14
",.ик",446
",.нск",96
",",4611
",к.н",371
",.ив",75
",.ух",71
",ьск.ин",13
",н.и",464
",ин.ск",72
",н.ик",22
",н.ин",84
",.вец",13
",.ушк",66
",ск.ин",91
",.и",992
",.ов",116
",.ческ",277
",еск.",279
",.атин",7
",.иш",69
",к.иш",1
",к.цк",93
",ьск.",84
"Б.б,.ическ",1
",.ианск",28
",.анк",12
",.ьн",278
",ичск.к",3
",ьск.ц",38
",к.ист",22
",.ыев",1
",ьк.цк",3
",ье.",10
",ин.ьск",4
",.явск",3
",.юк",7
",.ник",154
",.янск",33
",й.в",19
",йск.ц",128
",ьн.ин",8
",ц.чн",49
",чн.ст",6
",д.ж",23
",ь.",132
",.ическ",300
",ск.вец",6
",ск.чин",2
",.ул",21
",ск.щин",67
",.арн",60
",.айск",9
",ьц.цк",4
",.ичн",91
",.авск",2
",.иц",210
",й.вск",16
",.ьевск",5
",ьн.",282
"В.в,.ианск",1
",.енск",7
",.янк",9
",.овск",40
",ьн.нск",1
",.оват",4
",ьб.бск",1
",.ат",168
",.як",46
",ьск.вец",1
",.евск",7
",ьмин.мск",1
",йв.вск",1
",.йн",84
",и.ьск",12
",м.ьман",1
",н.чик",74
"Г.г,.эзск",1
",ьск.к",15
",н.ц",83
",и.к",34
",ья.",11
",.яч",17
",ц.чан",1
",н.ст",7
",.ват",51
",.рн",21
",йн.ин",4
",иск.",3
",.ванн",29
",й.янск",1
",к.чин",2
",.щин",23
",.альн",249
",ус.арн",5
",н.шк",9
",ц.ьцовск",1
",н.ьнинск",1
",ск.шин",4
",.ев",45
",тельн.лк",4
",и.йск",10
",.ян",39
",к.ьковск",1
",м.ьменск",1
",.ьк",12
",т.ческ",13
",й.",195
",.ьчик",11
",.ыш",33
",.ст",2445
",ьк.ин",1
",.ач",56
",.юл",4
",.юх",6
",.чин",2
",.юг",4
",.ыйск",1
"К.к,.лезск",1
",н.иц",35
",.аст",20
",н.ь",4
",я.",37
",ын.",2
",ус.альн",6
",н.ыш",7
",.ав",21
",.вит",10
",ь.ц",7
",ь.вец",2
",ьв.вск",2
",ческ.н",13
",в.ьвов",1
"М.м,с.зианск",1
",к.тв",385
",.яшк",15
",й.ьин",1
",.ьинск",4
",.аян",2
",ц.ч",60
",.лив",64
",йн.к",3
",н.щин",28
",к.лив",6
",м.ьминск",1
",х.ьхов",1
",.юшк",17
",к.",108
",.ынск",1
"П.п,.йск",1
",ьн.инк",2
",ьм.мск",4
",чн.н",4
",ки.цк",1
",.ьянск",4
",ьб.бн",5
",ц.ческ",46
",.иальн",27
",ьн.к",36
",н.ств",97
",ьн.иц",8
",ум.арн",7
",й.н",1
",.ашк",24
",ческ.зм",81
",.ын",5
",б.ьбинск",1
",.ьян",2
",йск.",7
"У.у,.имск",1
",.изиров",48
",иров.аци",137
",.ленн",62
",ь.к",15
",.ьев",5
",н.инк",8
".с,.а",2
".об,",79
".с,",152
",.вн",86
",р.ивн",22
",.ивн",64
",.иров",166
",.ани",1820
".не,.н",259
",.анн",467
",стск.зиров",9
".не,к.н",41
",ци.иров",6
",иров.нт",6
",иров.р",39
",гиров.кци",5
",н.ист",39
",н.изм",50
",зм.стск",135
",зм.стическ",36
",ическ.к",26
",и.",522
".без,.йн",1
".пред,.йн",2
",ск.изм",46
",.л",438
",.ност",281
".под,.ленн",2
",.лени",119
",.аем",213
",.ал",134
",у.",143
",.имост",58
".под,и.",2
",т.льн",19
",.чн",36
",чн.зм",26
",ьн.ист",26
",ни.тельн",50
",з.тическ",30
",иров.атор",61
",а.",91
",йк.чн",11
".не,и.н",112
",.ств",150
",.а",79
".меж,.ск",8
",ат.изов",3
",н.щик",84
",.зиров",5
".в,.в",5
",н.иров",36
",иров.",81
".не,",41
",.ров",21
",.ай",83
",.изм",77
",.ит",259
",аци.ированн",75
",в.уемост",14
".не,.анн",114
",.м",92
",д.жн",3
".с,н.",21
",жив.дн",5
".в,",185
",д.жлив",2
".за,",276
".при,",166
",д.жен",6
"сс.сс,.ин",2
".под,.н",55
",в.аци",33
".без,в.н",3
",в.ат",9
