form,lemma,upos,feats,frequency
united,unite,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",71
look,look,VERB,{'VerbForm': 'Inf'},67
experience,experience,VERB,{'VerbForm': 'Inf'},8
focus,focus,VERB,{'VerbForm': 'Inf'},10
have,have,VERB,{'VerbForm': 'Inf'},291
involving,involve,VERB,{'VerbForm': 'Ger'},4
making,make,VERB,{'VerbForm': 'Ger'},35
takes,take,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",22
exploring,explore,VERB,{'VerbForm': 'Ger'},3
inform,inform,VERB,{'VerbForm': 'Inf'},3
describes,describe,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",4
focusing,focus,VERB,{'VerbForm': 'Ger'},4
preserved,preserve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8
built,build,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",23
focused,focus,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8
completed,complete,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",7
report,report,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}",3
provided,provide,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12
viewing,view,VERB,{'VerbForm': 'Ger'},2
assess,assess,VERB,{'VerbForm': 'Inf'},7
written,write,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12
discuss,discuss,VERB,{'VerbForm': 'Inf'},5
brings,bring,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",8
established,establish,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8
explore,explore,VERB,{'VerbForm': 'Inf'},7
using,use,VERB,{'VerbForm': 'Ger'},55
develops,develop,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2
regarding,regard,VERB,{'VerbForm': 'Ger'},4
gathers,gather,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2
interspersed,intersperse,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1
called,call,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",71
determined,determine,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6
studying,study,VERB,{'VerbForm': 'Ger'},13
offers,offer,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",14
depend,depend,VERB,{'VerbForm': 'Inf'},4
highlighted,highlight,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3
transform,transform,VERB,{'VerbForm': 'Inf'},5
understand,understand,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}",39
see,see,VERB,{'VerbForm': 'Inf'},119
has,have,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",84
