form,lemma,upos,feats,frequency
united,unite,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",71
preserved,preserve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8
built,build,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",23
focused,focus,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8
completed,complete,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",7
provided,provide,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12
written,write,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12
established,establish,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8
interspersed,intersperse,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1
called,call,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",71
determined,determine,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6
highlighted,highlight,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3
understood,understand,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3
used,use,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}",71
evaluated,evaluate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3
encouraged,encourage,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6
investigated,investigate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2
influenced,influence,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",5
improved,improve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2
shown,show,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",15
conducted,conduct,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8
enhanced,enhance,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3
organized,organize,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8
distributed,distribute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",5
based,base,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",46
tended,tend,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3
assembled,assemble,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1
shed,shed,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1
washed,wash,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3
adapted,adapt,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2
required,require,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12
meant,mean,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",11
applied,apply,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",9
recollected,recollect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1
curated,curate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1
collected,collect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8
enabled,enable,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3
witnessed,witness,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1
contributed,contribute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2
analyzed,analyze,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2
defined,define,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",8
taken,take,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",28
adopted,adopt,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",7
implemented,implement,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4
reflected,reflect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4
increased,increase,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",15
consolidated,consolidate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1
respected,respect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",1
reduced,reduce,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",4
discussed,discuss,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",9
originated,originate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2
occurred,occur,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",6
broken,break,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",9
enjambed,enjamb,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1
described,describe,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",12
given,give,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",26
developed,develop,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",18
considered,consider,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",18
structured,structure,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2
followed,follow,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12
omitted,omit,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2
suggested,suggest,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",3
connected,connect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8
performed,perform,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",7
