Word,Log_Freq_HAL,I_Mean_RT
a,16.177,798.917
aah,5.403,816.429
Aaron,9.288,736.062
aback,5.958,796.267
abacus,6.24,964.4
abandon,8.232,695.719
abandoned,8.549,860.774
abandoning,6.913,740.545
abandonment,6.667,771.088
abase,3.401,803.273
abasement,1.946,1037.059
abash,0.0,748.714
abate,5.631,719.542
abated,4.97,894.227
abbess,3.497,885.143
abbey,7.735,726.19
abbot,6.423,808.583
abbreviate,5.313,795.032
abbreviated,7.102,698.452
abbreviation,7.554,728.909
abbreviations,7.816,729.129
abdicate,4.771,1056.0
abdomen,7.154,813.433
abdominal,6.745,715.548
abduct,5.193,769.667
abduction,7.598,795.875
Abe,7.119,820.667
abed,4.963,887.5
Abel,6.917,782.75
Abel's,3.951,840.143
aberrant,5.112,955.385
aberration,6.321,946.55
aberrations,5.7,1005.368
abet,4.394,792.0
abetted,4.883,998.5
abeyance,3.584,914.0
abhor,5.948,786.15
abhorred,4.466,798.444
abhorrent,5.903,794.154
abide,7.584,773.212
abides,6.094,750.63
abiding,7.217,784.667
Abigail,6.541,881.115
abilities,9.108,657.062
ability,10.949,619.677
abject,6.225,692.667
ablaze,5.037,740.727
able,12.081,623.303
ably,5.545,796.143
abnormal,7.698,684.909
abnormalities,6.468,898.367
abnormality,5.673,781.441
abnormally,5.919,843.258
aboard,8.222,628.161
abode,6.186,855.833
abolish,7.382,703.219
abolished,7.285,664.625
abolition,6.718,834.333
abolitionist,4.898,982.893
abolitionists,4.605,1010.967
abominable,6.159,829.071
abominate,1.099,888.593
aboriginal,7.286,916.727
aborigine,4.263,933.6
aborigines,6.236,977.364
abort,7.929,672.484
abortion,9.727,686.455
abortionist,5.328,833.824
abortions,8.234,774.633
abortive,5.361,881.077
abound,6.971,768.9
abounded,4.357,832.31
abounding,4.605,884.516
abounds,5.749,678.903
about,14.083,628.194
above,12.089,564.333
aboveground,2.944,830.645
abracadabra,4.29,889.25
Abraham,8.249,782.844
abrasion,5.521,807.346
abrasive,6.356,710.594
abreast,6.196,846.484
abridged,6.681,927.29
abridgment,3.738,1152.611
abroad,8.697,654.688
abrogate,4.605,798.583
abrogated,4.852,818.533
abrupt,6.578,690.971
abruptly,7.115,701.212
abruptness,3.135,817.679
abscess,4.564,1033.5
abscesses,4.691,1061.211
abscissa,2.89,953.154
abscond,2.833,774.111
absence,8.896,687.0
absences,4.963,812.118
absent,8.013,665.324
absented,1.386,794.577
absentee,5.024,886.786
absenteeism,4.357,963.421
absently,5.247,648.1
absentmindedly,3.892,1038.526
absinth,2.079,744.5
absolute,9.732,707.029
absolutely,10.518,667.0
absoluteness,3.135,888.839
absolutes,6.375,826.697
absolution,4.942,842.875
absolutism,5.283,934.963
absolve,5.407,730.12
absorb,7.933,633.781
absorbed,7.991,735.406
absorbency,4.407,955.821
absorbent,5.263,793.733
absorber,4.963,794.7
absorbing,6.838,747.062
absorbs,6.428,675.0
absorption,7.459,825.69
absorptions,2.398,841.125
absorptive,3.466,873.882
abstain,6.867,729.5
abstaining,5.247,861.875
abstention,4.277,985.389
abstinence,6.891,884.379
abstinent,4.29,968.905
abstract,9.06,667.909
abstracted,5.565,790.515
abstractedness,0.693,1073.321
abstracting,4.727,875.258
abstraction,7.375,820.062
abstractionism,0.0,1100.0
abstractionists,1.099,1187.815
abstractions,6.238,864.345
abstractive,1.946,972.321
abstractly,4.963,806.333
abstractors,0.0,942.857
abstracts,8.316,766.5
abstruse,5.056,1042.6
absurd,8.514,736.567
absurdities,5.704,928.44
absurdity,6.988,860.469
absurdly,5.756,808.724
abundance,7.509,698.727
abundant,7.231,660.75
abuse,10.163,608.688
abused,8.706,620.935
abuses,8.105,632.576
abusive,8.168,799.242
abut,5.557,1072.333
abutment,2.944,1089.5
abutments,2.89,1164.25
abysmal,6.428,714.583
