Word,Log_Freq_HAL,I_Mean_RT
a,6.0175,798.917
aah,5.403,816.429
Aaron,2.8739,736.062
aback,1.2041,796.267
abacus,1.1139,964.4
abandon,2.6170,695.719
abandoned,2.8319,860.774
abandoning,1.9395,740.545
abandonment,1.6990,771.088
abase,0.6021,803.273
abasement,1.946,1037.059
abash,0.0,748.714
abate,0.7782,719.542
abated,0.6990,894.227
abbess,0.4771,885.143
abbey,7.735,726.19
abbot,6.423,808.583
abbreviate,5.313,795.032
abbreviated,1.2304,698.452
abbreviation,1.1139,728.909
abbreviations,1.0414,729.129
abdicate,1.0000,1056.0
abdomen,2.2355,813.433
abdominal,2.2430,715.548
abduct,1.5682,769.667
abduction,2.2695,795.875
Abe,7.119,820.667
abed,1.0414,887.5
Abel,1.8388,782.75
Abel's,3.951,840.143
aberrant,1.2041,955.385
aberration,1.4624,946.55
aberrations,0.9542,1005.368
abet,0.7782,792.0
abetted,0.9542,998.5
abeyance,0.4771,914.0
abhor,1.1139,786.15
abhorred,0.9031,798.444
abhorrent,1.0000,794.154
abide,2.1430,773.212
abides,0.6990,750.63
abiding,1.4150,784.667
Abigail,2.1903,881.115
abilities,2.4955,657.062
ability,2.9917,619.677
abject,1.3222,692.667
ablaze,1.3424,740.727
able,3.9115,623.303
ably,1.0000,796.143
abnormal,2.1732,684.909
abnormalities,1.4150,898.367
abnormality,1.4314,781.441
abnormally,1.3222,843.258
aboard,3.1332,628.161
abode,1.5315,855.833
abolish,1.3979,703.219
abolished,1.3222,664.625
abolition,1.0414,834.333
abolitionist,1.0792,982.893
abolitionists,1.1461,1010.967
abominable,1.5185,829.071
abominate,0.6021,888.593
aboriginal,1.0000,916.727
aborigine,0.6990,933.6
aborigines,1.0000,977.364
abort,7.929,672.484
abortion,2.5682,686.455
abortionist,0.6990,833.824
abortions,1.5563,774.633
abortive,5.361,881.077
abound,1.2788,768.9
abounded,0.6021,832.31
abounding,0.6990,884.516
abounds,1.0414,678.903
about,5.2677,628.194
above,3.3969,564.333
aboveground,0.9031,830.645
abracadabra,4.29,889.25
Abraham,2.4232,782.844
abrasion,1.2788,807.346
abrasive,1.3802,710.594
abreast,1.4314,846.484
abridged,1.0000,927.29
abridgment,3.738,1152.611
abroad,2.3997,654.688
abrogate,4.605,798.583
abrogated,0.4771,818.533
abrupt,1.7709,690.971
abruptly,1.6628,701.212
abruptness,0.6990,817.679
abscess,1.4150,1033.5
abscesses,0.9031,1061.211
abscissa,2.89,953.154
abscond,0.7782,774.111
absence,2.5092,687.0
absences,1.1761,812.118
absent,2.1206,665.324
absented,1.386,794.577
absentee,1.2788,886.786
absenteeism,0.7782,963.421
absently,5.247,648.1
absentmindedly,3.892,1038.526
absinth,2.079,744.5
absolute,2.7619,707.029
absolutely,3.7612,667.0
absoluteness,3.135,888.839
absolutes,1.3424,826.697
absolution,1.6902,842.875
absolutism,5.283,934.963
absolve,1.4771,730.12
absorb,2.0086,633.781
absorbed,1.8976,735.406
absorbency,4.407,955.821
absorbent,0.9542,793.733
absorber,0.6021,794.7
absorbing,1.3802,747.062
absorbs,1.4150,675.0
absorption,1.2788,825.69
absorptions,2.398,841.125
absorptive,3.466,873.882
abstain,1.4314,729.5
abstaining,0.9542,861.875
abstention,0.8451,985.389
abstinence,1.6628,884.379
abstinent,0.6021,968.905
abstract,2.0492,667.909
abstracted,0.6021,790.515
abstractedness,0.693,1073.321
abstracting,4.727,875.258
abstraction,1.2041,820.062
abstractionism,0.0,1100.0
abstractionists,1.099,1187.815
abstractions,0.7782,864.345
abstractive,1.946,972.321
abstractly,0.4771,806.333
abstractors,0.0,942.857
abstracts,0.9031,766.5
abstruse,0.6021,1042.6
absurd,2.6955,736.567
absurdities,0.8451,928.44
absurdity,1.5185,860.469
absurdly,1.2041,808.724
abundance,1.6628,698.727
abundant,1.4771,660.75
abuse,2.7193,608.688
abused,2.3655,620.935
abuses,1.4150,632.576
abusive,1.9243,799.242
abut,0.8451,1072.333
abutment,0.8451,1089.5
abutments,2.89,1164.25
abysmal,1.3424,714.583
abyss,1.9590,651.44
acacia,0.9542,1013.5
academic,2.3784,716.906
academically,1.0792,868.613
academicianship,0.0,1150.455
academics,1.5563,682.516
academies,0.9031,794.958
academy,9.397,630.97
Acadia,0.6021,959.615
Acapulco,1.9191,927.84
accede,0.9031,967.25
acceded,4.127,880.111
accelerando,1.946,1069.4
accelerate,1.8195,710.853
accelerated,1.6990,741.562
accelerating,1.6628,832.613
acceleration,1.6532,712.156
accelerations,5.13,828.486
accelerator,1.8451,838.229
accelerators,0.6990,791.893
accelerometer,4.248,1130.867
accelerometers,4.143,1029.231
accent,2.7938,674.97
accented,7.075,642.733
accenting,3.989,819.323
accents,1.7709,641.219
accentual,0.0,865.0
accentuate,1.2788,765.433
accentuated,0.4771,938.724
accentuates,0.6990,995.727
accept,3.4302,556.394
acceptable,2.4314,661.061
acceptance,2.2095,660.75
accepted,2.9042,597.788
accepting,2.3160,630.545
accepts,2.0294,735.667
access,3.2084,677.788
accesses,0.4771,749.387
accessible,1.7559,709.219
accessions,3.871,919.407
accessories,1.8865,704.879
accessors,5.153,912.174
accessory,2.1703,687.364
accident,3.6177,621.781
accidental,2.1875,691.0
accidentally,2.6532,704.6
accidents,2.5328,632.735
acclaim,1.3617,828.188
acclaimed,1.3222,694.967
acclaims,0.4771,801.133
acclamation,3.258,816.0
acclimate,0.9542,863.125
acclimatized,0.4771,1205.625
accolade,6.555,960.353
accolades,1.0000,899.056
accommodate,2.0414,726.147
accommodated,0.7782,705.588
accommodates,0.6021,756.625
accommodating,1.5682,760.448
accommodation,1.6902,864.829
accommodations,1.9345,770.882
accompanied,2.0253,787.094
accompanies,1.1461,803.448
accompaniment,1.2041,728.364
accompaniments,3.584,1015.391
accompanist,1.0414,817.179
accompanists,4.29,886.083
accompany,2.3856,725.844
accompanying,1.6812,899.419
accomplice,2.3365,784.333
accomplices,1.7709,940.516
accomplish,2.4757,773.121
accomplished,2.5855,726.788
accomplishes,0.9031,862.138
accomplishing,1.4314,708.625
accomplishment,1.9868,803.062
accomplishments,1.9138,776.333
accord,1.9243,683.71
accordance,1.9138,767.242
accorded,0.9031,763.742
according,11.078,707.182
accordingly,1.9731,736.576
accordion,1.8325,930.2
accords,1.0000,680.441
accost,0.6021,806.808
accosted,1.5441,796.65
accosting,0.6990,838.542
account,3.3581,619.382
accountability,1.3979,821.206
accountable,1.8633,729.333
accountant,2.4997,817.188
accountants,1.7482,742.857
accounted,2.1903,664.829
accounting,2.3636,632.088
accounts,2.7284,644.917
accredit,3.555,839.708
accreditation,1.0000,975.0
accredited,1.2304,773.906
accrue,0.6990,704.895
accrued,1.1461,851.083
accrues,4.143,917.333
accruing,0.4771,897.143
acculturated,3.178,1061.474
acculturation,3.555,1047.947
accumulate,1.4771,734.088
accumulated,1.6021,748.265
accumulates,1.0792,749.781
