form,lemma,upos,feats,frequency,Log_Freq_HAL,I_Mean_RT
united,unite,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",71,11.316,637.1520869581568
look,look,VERB,{'VerbForm': 'Inf'},67,4.997,739.287265913869
experience,experience,VERB,{'VerbForm': 'Inf'},8,3.4898,763.6484214324714
focus,focus,VERB,{'VerbForm': 'Inf'},10,3.1761,768.7188132093993
have,have,VERB,{'VerbForm': 'Inf'},291,5.4973,731.200823433802
involving,involve,VERB,{'VerbForm': 'Ger'},4,2.3118,782.6886557749036
making,make,VERB,{'VerbForm': 'Ger'},35,4.055,754.5129881129955
takes,take,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",22,3.7772,759.0031214749035
exploring,explore,VERB,{'VerbForm': 'Ger'},3,2.1461,785.3668958687415
inform,inform,VERB,{'VerbForm': 'Inf'},3,2.8096,774.6426212624565
describes,describe,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",4,1.9138,789.1216042199699
focusing,focus,VERB,{'VerbForm': 'Ger'},4,2.1553,785.2181945479008
preserved,preserve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8,1.9912,787.870573542462
built,build,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",23,3.3222,766.3573715817004
focused,focus,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8,2.6064,777.9269808705908
completed,complete,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",7,2.5933,778.1387186209183
report,report,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}",3,3.7411,759.5866125273329
provided,provide,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12,2.705,776.3332906276673
viewing,view,VERB,{'VerbForm': 'Ger'},2,2.0414,787.0591815526572
assess,assess,VERB,{'VerbForm': 'Inf'},7,1.9243,788.9518907559668
written,write,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12,3.3518,765.8789412450824
discuss,discuss,VERB,{'VerbForm': 'Inf'},5,3.3674,765.6267955271351
brings,bring,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",8,3.2533,767.471015169301
established,establish,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8,2.6191,777.7217083950824
explore,explore,VERB,{'VerbForm': 'Inf'},7,2.5024,779.6079523235729
using,use,VERB,{'VerbForm': 'Ger'},55,3.5467,762.7287360894456
develops,develop,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2,1.8062,790.8607631463244
regarding,regard,VERB,{'VerbForm': 'Ger'},4,2.6365,777.4404689404488
gathers,gather,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",2,1.5798,794.5201086939701
interspersed,intersperse,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,0.4771,812.343255051695
called,call,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",71,4.2391,751.5373453774762
determined,determine,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6,2.8274,774.3549165330038
studying,study,VERB,{'VerbForm': 'Ger'},13,2.9948,771.6491990211845
offers,offer,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",14,2.5843,778.2841873043495
depend,depend,VERB,{'VerbForm': 'Inf'},4,2.7033,776.3607680456488
highlighted,highlight,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3,0.0,820.0547115922506
transform,transform,VERB,{'VerbForm': 'Inf'},5,2.0531,786.8700722641967
understand,understand,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Pres', 'VerbForm': 'Fin'}",39,4.391,749.0821572648994
see,see,VERB,{'VerbForm': 'Inf'},119,5.1153,737.3751608861018
has,have,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",84,4.7622,743.082382232717
understood,understand,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,3.2148,768.0932978706453
used,use,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}",71,4.2443,751.4532968048271
are,be,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",106,5.4243,732.380736088299
investigate,investigate,VERB,{'VerbForm': 'Inf'},8,2.6848,776.659787006035
evaluated,evaluate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,1.5051,795.7274987664487
encouraged,encourage,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6,2.2279,784.0447471682229
approach,approach,VERB,{'VerbForm': 'Inf'},3,3.0298,771.0834874745078
investigated,investigate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2,2.2095,784.3421498099043
provides,provide,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",16,2.1399,785.4671076284385
offer,offer,VERB,{'VerbForm': 'Inf'},14,3.581,762.1743387737025
play,play,VERB,{'VerbForm': 'Inf'},25,4.2572,751.2447916919091
determining,determine,VERB,{'VerbForm': 'Ger'},1,1.7324,792.0536063504599
establish,establish,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",7,2.5105,779.4770305084849
influenced,influence,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",5,2.0334,787.1884870490404
including,include,VERB,{'VerbForm': 'Ger'},27,3.148,769.1729987654454
shows,show,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",8,3.3259,766.2975677896231
lead,lead,VERB,{'VerbForm': 'Inf'},7,3.6281,761.4130526637462
improved,improve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,2.3636,781.8514026858221
pairing,pair,VERB,{'VerbForm': 'Ger'},1,0.0,820.0547115922506
complement,complement,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,1.6021,794.1596696228019
augment,augment,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",1,1.301,799.0264052429261
shown,show,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",15,2.8597,773.8328455913564
produce,produce,VERB,{'VerbForm': 'Inf'},11,2.752,775.5736208364158
facilitate,facilitate,VERB,{'VerbForm': 'Inf'},6,1.7076,792.4544533892479
quantifying,quantify,VERB,{'VerbForm': 'Ger'},1,0.0,820.0547115922506
remains,remain,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",6,2.9499,772.3749261196353
measuring,measure,VERB,{'VerbForm': 'Ger'},3,2.1038,786.0505986808679
expanding,expand,VERB,{'VerbForm': 'Ger'},5,2.0043,787.6588357921344
understanding,understand,VERB,{'VerbForm': 'Ger'},2,3.0484,770.7828521954167
conducted,conduct,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8,2.2148,784.2564849185504
enhanced,enhance,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,1.699,792.5934567978599
