form,lemma,upos,feats,frequency,Log_Freq_HAL,I_Mean_RT
united,unite,VERB,"['Past', 'Part']",71,11.316,637.1520869581568
look,look,VERB,['Inf'],67,4.997,739.287265913869
experience,experience,VERB,['Inf'],8,3.4898,763.6484214324714
focus,focus,VERB,['Inf'],10,3.1761,768.7188132093993
have,have,VERB,['Inf'],291,5.4973,731.200823433802
involving,involve,VERB,['Ger'],4,2.3118,782.6886557749036
making,make,VERB,['Ger'],35,4.055,754.5129881129955
takes,take,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",22,3.7772,759.0031214749035
exploring,explore,VERB,['Ger'],3,2.1461,785.3668958687415
inform,inform,VERB,['Inf'],3,2.8096,774.6426212624565
describes,describe,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",4,1.9138,789.1216042199699
focusing,focus,VERB,['Ger'],4,2.1553,785.2181945479008
preserved,preserve,VERB,"['Past', 'Part']",8,1.9912,787.870573542462
built,build,VERB,"['Past', 'Part']",23,3.3222,766.3573715817004
focused,focus,VERB,"['Past', 'Part']",8,2.6064,777.9269808705908
completed,complete,VERB,"['Past', 'Part']",7,2.5933,778.1387186209183
report,report,VERB,['Inf'],3,3.7411,759.5866125273329
provided,provide,VERB,"['Past', 'Part']",12,2.705,776.3332906276673
viewing,view,VERB,['Ger'],2,2.0414,787.0591815526572
assess,assess,VERB,['Inf'],7,1.9243,788.9518907559668
written,write,VERB,"['Past', 'Part']",12,3.3518,765.8789412450824
discuss,discuss,VERB,['Inf'],5,3.3674,765.6267955271351
brings,bring,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",8,3.2533,767.471015169301
established,establish,VERB,"['Past', 'Part']",8,2.6191,777.7217083950824
explore,explore,VERB,['Inf'],7,2.5024,779.6079523235729
using,use,VERB,['Ger'],55,3.5467,762.7287360894456
develops,develop,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,1.8062,790.8607631463244
regarding,regard,VERB,['Ger'],4,2.6365,777.4404689404488
gathers,gather,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,1.5798,794.5201086939701
interspersed,intersperse,VERB,"['Past', 'Part']",1,0.4771,812.343255051695
called,call,VERB,"['Past', 'Part']",71,4.2391,751.5373453774762
determined,determine,VERB,"['Past', 'Part']",6,2.8274,774.3549165330038
studying,study,VERB,['Ger'],13,2.9948,771.6491990211845
offers,offer,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",14,2.5843,778.2841873043495
depend,depend,VERB,['Inf'],4,2.7033,776.3607680456488
highlighted,highlight,VERB,"['Past', 'Part']",3,0.0,820.0547115922506
transform,transform,VERB,['Inf'],5,2.0531,786.8700722641967
understand,understand,VERB,['Inf'],39,4.391,749.0821572648994
see,see,VERB,['Inf'],119,5.1153,737.3751608861018
has,have,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",84,4.7622,743.082382232717
understood,understand,VERB,"['Past', 'Part']",3,3.2148,768.0932978706453
used,use,VERB,"['Fin', 'Ind', 'Past']",71,4.2443,751.4532968048271
are,be,VERB,['Inf'],106,5.4243,732.380736088299
investigate,investigate,VERB,['Inf'],8,2.6848,776.659787006035
evaluated,evaluate,VERB,"['Past', 'Part']",3,1.5051,795.7274987664487
encouraged,encourage,VERB,"['Past', 'Part']",6,2.2279,784.0447471682229
approach,approach,VERB,['Inf'],3,3.0298,771.0834874745078
investigated,investigate,VERB,"['Fin', 'Ind', 'Past']",2,2.2095,784.3421498099043
provides,provide,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",16,2.1399,785.4671076284385
offer,offer,VERB,['Inf'],14,3.581,762.1743387737025
play,play,VERB,['Inf'],25,4.2572,751.2447916919091
determining,determine,VERB,['Ger'],1,1.7324,792.0536063504599
establish,establish,VERB,['Inf'],7,2.5105,779.4770305084849
influenced,influence,VERB,"['Past', 'Part']",5,2.0334,787.1884870490404
including,include,VERB,['Ger'],27,3.148,769.1729987654454
shows,show,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",8,3.3259,766.2975677896231
lead,lead,VERB,['Inf'],7,3.6281,761.4130526637462
improved,improve,VERB,"['Past', 'Part']",2,2.3636,781.8514026858221
pairing,pair,VERB,['Ger'],1,0.0,820.0547115922506
complement,complement,VERB,['Inf'],1,1.6021,794.1596696228019
augment,augment,VERB,['Inf'],1,1.301,799.0264052429261
shown,show,VERB,"['Past', 'Part']",15,2.8597,773.8328455913564
produce,produce,VERB,['Inf'],11,2.752,775.5736208364158
facilitate,facilitate,VERB,['Inf'],6,1.7076,792.4544533892479
quantifying,quantify,VERB,['Ger'],1,0.0,820.0547115922506
remains,remain,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",6,2.9499,772.3749261196353
measuring,measure,VERB,['Ger'],3,2.1038,786.0505986808679
expanding,expand,VERB,['Ger'],5,2.0043,787.6588357921344
understanding,understand,VERB,['Ger'],2,3.0484,770.7828521954167
conducted,conduct,VERB,"['Past', 'Part']",8,2.2148,784.2564849185504
enhanced,enhance,VERB,"['Past', 'Part']",3,1.699,792.5934567978599
is,be,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",94,5.6624,728.5322812521929
define,define,VERB,['Inf'],4,2.5038,779.5853238617059
vary,vary,VERB,['Inf'],2,1.6812,792.8811615273125
organized,organize,VERB,"['Past', 'Part']",8,2.716,776.1554955701404
approximates,approximate,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,0.0,820.0547115922506
lack,lack,VERB,['Inf'],2,2.9571,772.2585511728905
encompassing,encompass,VERB,['Ger'],2,0.0,820.0547115922506
distributed,distribute,VERB,"['Past', 'Part']",5,1.8325,790.4356713269646
based,base,VERB,"['Past', 'Part']",46,3.1329,769.4170628898688
assembling,assemble,VERB,['Ger'],2,1.6232,793.8186263760911
tended,tend,VERB,"['Past', 'Part']",3,1.716,792.3186826180455
avoid,avoid,VERB,['Inf'],16,3.0934,770.055508778261
assembled,assemble,VERB,"['Fin', 'Ind', 'Past']",1,2.1903,784.652483001224
shed,shed,VERB,"['Past', 'Part']",1,2.749,775.6221103975595
evolving,evolve,VERB,['Ger'],1,1.7709,791.4313236491155
changing,change,VERB,['Ger'],11,3.1271,769.5108093747466
documents,document,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,2.6803,776.7325213477505
provide,provide,VERB,['Inf'],19,2.9489,772.3910893066833
suffer,suffer,VERB,['Inf'],3,3.0603,770.5905102695467
inject,inject,VERB,['Inf'],1,2.0934,786.2186958261661
make,make,VERB,['Inf'],139,4.8499,741.6648707286158
washed,wash,VERB,"['Past', 'Part']",3,2.8567,773.8813351525001
masking,mask,VERB,['Ger'],1,1.2788,799.3852279953895
present,present,VERB,['Inf'],8,3.6593,760.9087612278515
assemble,assemble,VERB,['Inf'],2,2.2148,784.2564849185504
adapted,adapt,VERB,"['Past', 'Part']",2,1.7559,791.6737714548341
collecting,collect,VERB,['Ger'],7,2.5441,778.9339474236752
required,require,VERB,"['Past', 'Part']",12,2.7388,775.7869749054481
do,do,VERB,['Inf'],135,5.4954,731.231533489193
providing,provide,VERB,['Ger'],7,2.3139,782.6547130821031
having,have,VERB,['Ger'],24,4.1689,752.6720011082391
rely,rely,VERB,['Inf'],6,2.5647,778.6009857704885
study,study,VERB,['Inf'],17,3.3983,765.1273530473547
changes,change,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",3,3.1708,768.8044781007532
evaluating,evaluate,VERB,['Ger'],3,1.3222,798.6837456775105
meant,mean,VERB,"['Past', 'Part']",11,3.7257,759.8355256078706
broaden,broaden,VERB,['Inf'],1,1.7076,792.4544533892479
improve,improve,VERB,['Inf'],16,2.617,777.7556510878829
applied,apply,VERB,"['Past', 'Part']",9,2.4983,779.6742213904694
elucidate,elucidate,VERB,['Inf'],1,0.8451,806.395202218066
relate,relate,VERB,['Inf'],2,2.3856,781.4958125707682
benefit,benefit,VERB,['Inf'],4,2.8651,773.7455643812978
recollected,recollect,VERB,"['Past', 'Part']",1,0.6021,810.3228566707069
follows,follow,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",10,2.5705,778.5072392856106
begin,begin,VERB,['Inf'],11,3.4634,764.0751295705361
detailing,detail,VERB,['Ger'],1,0.0,820.0547115922506
demonstrates,demonstrate,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,1.4624,796.4176668533942
comparing,compare,VERB,['Ger'],3,2.0531,786.8700722641967
curated,curate,VERB,"['Past', 'Part']",1,0.0,820.0547115922506
collected,collect,VERB,"['Past', 'Part']",8,2.4683,780.1591170019065
enabled,enable,VERB,"['Past', 'Part']",3,1.5441,795.0971344715804
uses,use,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",5,2.8915,773.3188562432331
witnessed,witness,VERB,"['Past', 'Part']",1,2.4654,780.2059902443455
contributed,contribute,VERB,"['Past', 'Part']",2,1.9395,788.7062103128387
analyzed,analyze,VERB,"['Past', 'Part']",2,2.0453,786.9961451231703
argues,argue,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",4,1.3222,798.6837456775105
involve,involve,VERB,['Inf'],5,2.5198,779.3267128689394
outweigh,outweigh,VERB,['Inf'],1,1.3979,797.4601924179841
take,take,VERB,['Inf'],94,4.9843,739.4925383893773
defined,define,VERB,"['Fin', 'Ind', 'Past']",8,1.9494,788.5461947610644
determine,determine,VERB,['Inf'],8,2.6325,777.5051216886404
affect,affect,VERB,['Inf'],3,2.7551,775.5235149565673
stimulating,stimulate,VERB,['Ger'],3,2.0828,786.3900256088739
discouraging,discourage,VERB,['Ger'],2,1.6232,793.8186263760911
requires,require,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",8,2.6902,776.5725057959763
reduces,reduce,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",4,1.3617,798.0452997891182
existing,exist,VERB,['Ger'],7,1.9956,787.7994555194512
guarantees,guarantee,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,2.0492,786.9331086936835
believe,believe,VERB,['Inf'],24,4.5036,747.2621824033052
taken,take,VERB,"['Past', 'Part']",28,3.8495,757.8345230513399
achieving,achieve,VERB,['Ger'],6,1.5798,794.5201086939701
guarantee,guarantee,VERB,['Inf'],4,3.0508,770.7440605465017
incorporate,incorporate,VERB,['Inf'],1,1.6021,794.1596696228019
promote,promote,VERB,['Inf'],4,2.3541,782.0049529627772
promoting,promote,VERB,['Ger'],5,1.9685,788.2374778884495
protect,protect,VERB,['Inf'],4,3.5544,762.6042795491768
ensure,ensure,VERB,['Inf'],14,2.4048,781.1854793794485
imposing,impose,VERB,['Ger'],1,1.7243,792.1845281655478
penalizing,penalize,VERB,['Ger'],1,0.0,820.0547115922506
establishes,establish,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,1.0792,802.6114001301514
adopted,adopt,VERB,"['Past', 'Part']",7,2.6345,777.4727953145447
implemented,implement,VERB,"['Past', 'Part']",4,1.1761,801.0451873052094
wins,win,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,2.9952,771.6427337463653
adopts,adopt,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,1.0792,802.6114001301514
develop,develop,VERB,['Inf'],8,2.6911,776.5579589276332
implementing,implement,VERB,['Ger'],5,1.4771,796.18006800379
reflected,reflect,VERB,"['Past', 'Part']",4,1.9345,788.7870262480782
increased,increase,VERB,"['Past', 'Part']",15,2.3201,782.554501322406
consolidated,consolidate,VERB,"['Past', 'Part']",1,7.105,705.2152676168851
extracts,extract,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,1.0,803.8915245443454
oppose,oppose,VERB,['Inf'],1,2.0453,786.9961451231703
results,result,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",3,3.0641,770.5290901587647
devolving,devolve,VERB,['Ger'],1,0.0,820.0547115922506
occur,occur,VERB,['Inf'],6,2.5798,778.3569216460651
restricting,restrict,VERB,['Ger'],1,1.1461,801.5300829166465
creating,create,VERB,['Ger'],8,2.5988,778.0498210921548
reflect,reflect,VERB,['Inf'],4,2.3304,782.3880204958126
happens,happen,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",10,3.8449,757.9088737117604
respected,respect,VERB,"['Past', 'Part']",1,2.5276,779.2006400099657
exhibits,exhibit,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,1.8195,790.6457927585873
presents,present,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,2.9886,771.7494107808815
respect,respect,VERB,['Inf'],2,3.5617,762.486288283727
reduced,reduce,VERB,"['Past', 'Part']",4,2.3962,781.3244827880604
result,result,VERB,['Inf'],4,3.0039,771.5021140190486
acts,act,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",1,2.8041,774.73151879122
discussed,discuss,VERB,"['Past', 'Part']",9,2.7316,775.9033498521931
following,follow,VERB,['Ger'],16,3.3638,765.6849830005075
attract,attract,VERB,['Inf'],3,2.4639,780.2302350249173
originated,originate,VERB,"['Fin', 'Ind', 'Past']",2,1.8388,790.3338432485627
reflects,reflect,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",3,1.8976,789.3834478501459
require,require,VERB,['Inf'],10,2.7348,775.8516276536398
limit,limit,VERB,['Inf'],3,2.8228,774.4292671934242
occurred,occur,VERB,"['Past', 'Part']",6,2.8681,773.6970748201541
broken,break,VERB,"['Past', 'Part']",9,3.5605,762.5056841081846
giving,give,VERB,['Ger'],4,3.7493,759.45407439354
enjambed,enjamb,VERB,"['Past', 'Part']",1,0.0,820.0547115922506
described,describe,VERB,"['Past', 'Part']",12,2.6656,776.9701201973548
exist,exist,VERB,['Inf'],18,3.1697,768.8222576065059
identify,identify,VERB,['Inf'],5,2.917,772.9066949735114
spanning,span,VERB,['Ger'],2,1.0414,803.2223686005622
enabling,enable,VERB,['Ger'],2,1.3424,798.3572492991428
given,give,VERB,"['Past', 'Part']",26,3.6859,760.4788204523772
developed,develop,VERB,"['Past', 'Part']",18,2.8102,774.6329233502278
identifies,identify,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",5,1.6021,794.1596696228019
considered,consider,VERB,"['Past', 'Part']",18,3.073,770.3852377940383
trigger,trigger,VERB,['Inf'],2,2.9355,772.6076760131252
permits,permit,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,2.1553,785.2181945479008
stimulate,stimulate,VERB,['Inf'],1,1.8513,790.1318034104639
complements,complement,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,0.8451,806.395202218066
covering,cover,VERB,['Ger'],1,2.8028,774.7525309343822
structured,structure,VERB,"['Past', 'Part']",2,1.5441,795.0971344715804
followed,follow,VERB,"['Past', 'Part']",12,3.2405,767.6779039635142
omitted,omit,VERB,"['Past', 'Part']",2,1.2788,799.3852279953895
match,match,VERB,['Inf'],2,3.4017,765.0723982113918
suggested,suggest,VERB,"['Fin', 'Ind', 'Past']",3,2.721,776.0746796349008
occurs,occur,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",2,2.233,783.9623149142785
connected,connect,VERB,"['Past', 'Part']",8,2.9455,772.4460441426462
triggering,trigger,VERB,['Ger'],1,0.0,820.0547115922506
performed,perform,VERB,"['Fin', 'Ind', 'Past']",7,2.5729,778.4684476366956
proposing,propose,VERB,['Ger'],4,2.2041,784.429431019963
give,give,VERB,['Inf'],38,4.775,742.8754934385038
break,break,VERB,['Inf'],4,4.0522,754.5582450367297
breaking,break,VERB,['Ger'],7,3.3336,766.1731112493542
translated,translate,VERB,"['Fin', 'Ind', 'Past']",5,2.1072,785.995643844905
bounded,bound,VERB,"['Past', 'Part']",2,1.0,803.8915245443454
heading,head,VERB,['Ger'],5,3.2325,767.8072094598974
includes,include,VERB,"['Ind', 'Sing', 'Pres', 'Fin', '3']",7,2.4314,780.7555386039742
identified,identify,VERB,"['Past', 'Part']",13,2.7202,776.0876101845392
noted,note,VERB,"['Fin', 'Ind', 'Past']",6,2.3909,781.4101476794143
feel,feel,VERB,['Inf'],41,4.505,747.2395539414382
pronounced,pronounce,VERB,"['Past', 'Part']",6,2.1847,784.7429968486923
