unite,united,Past;Part
look,look,Inf
experience,experience,Inf
focus,focus,Inf
have,have,Inf
involve,involving,Ger
make,making,Ger
take,takes,Pres;Fin
explore,exploring,Ger
inform,inform,Inf
describe,describes,Pres;Fin
focus,focusing,Ger
preserve,preserved,Past;Part
build,built,Past;Part
focus,focused,Past;Part
complete,completed,Part;Pass
report,report,Pres;Fin
provide,provided,Past;Part
view,viewing,Ger
assess,assess,Inf
write,written,Past;Part
discuss,discuss,Inf
bring,brings,Pres;Fin
establish,established,Past;Part
explore,explore,Inf
use,using,Ger
develop,develops,Pres;Fin
regard,regarding,Ger
gather,gathers,Pres;Fin
intersperse,interspersed,Past;Part
call,called,Past;Part
determine,determined,Part;Pass
study,studying,Ger
offer,offers,Pres;Fin
depend,depend,Inf
highlight,highlighted,Past;Part
transform,transform,Inf
understand,understand,Pres;Fin
see,see,Inf
have,has,Pres;Fin
understand,understood,Part;Pass
use,used,Past;Fin
be,are,Pres;Fin
investigate,investigate,Inf
evaluate,evaluated,Part;Pass
encourage,encouraged,Part;Pass
approach,approach,Inf
investigate,investigated,Past;Fin
provide,provides,Pres;Fin
offer,offer,Inf
play,play,Inf
determine,determining,Ger
establish,establish,Pres;Fin
influence,influenced,Part;Pass
include,including,Ger
show,shows,Pres;Fin
lead,lead,Inf
improve,improved,Past;Part
pair,pairing,Ger
complement,complement,Pres;Fin
augment,augment,Pres;Fin
show,shown,Part;Pass
produce,produce,Inf
facilitate,facilitate,Inf
quantify,quantifying,Ger
remain,remains,Pres;Fin
measure,measuring,Ger
expand,expanding,Ger
understand,understanding,Ger
conduct,conducted,Part;Pass
enhance,enhanced,Part;Pass
be,is,Pres;Fin
define,define,Inf
vary,vary,Pres;Fin
organize,organized,Part;Pass
approximate,approximates,Pres;Fin
lack,lack,Pres;Fin
encompass,encompassing,Ger
distribute,distributed,Part;Pass
base,based,Past;Part
assemble,assembling,Ger
tend,tended,Past;Part
avoid,avoid,Inf
assemble,assembled,Past;Fin
shed,shed,Past;Part
evolve,evolving,Ger
change,changing,Ger
document,documents,Pres;Fin
provide,provide,Inf
suffer,suffer,Inf
inject,inject,Inf
make,make,Inf
wash,washed,Part;Pass
mask,masking,Ger
present,present,Pres;Fin
assemble,assemble,Inf
adapt,adapted,Part;Pass
collect,collecting,Ger
require,required,Past;Part
do,do,Inf
provide,providing,Ger
have,having,Ger
rely,rely,Inf
study,study,Inf
change,changes,Pres;Fin
evaluate,evaluating,Ger
mean,meant,Past;Part
broaden,broaden,Inf
improve,improve,Inf
apply,applied,Past;Part
elucidate,elucidate,Inf
relate,relate,Inf
benefit,benefit,Inf
recollect,recollected,Past;Part
follow,follows,Pres;Fin
begin,begin,Pres;Fin
detail,detailing,Ger
demonstrate,demonstrates,Pres;Fin
compare,comparing,Ger
curate,curated,Past;Part
collect,collected,Past;Part
enable,enabled,Past;Part
use,uses,Pres;Fin
witness,witnessed,Past;Part
contribute,contributed,Past;Part
analyze,analyzed,Past;Part
argue,argues,Pres;Fin
involve,involve,Pres;Fin
outweigh,outweigh,Pres;Fin
take,take,Inf
define,defined,Past;Fin
determine,determine,Pres;Fin
affect,affect,Pres;Fin
stimulate,stimulating,Ger
discourage,discouraging,Ger
require,requires,Pres;Fin
reduce,reduces,Pres;Fin
exist,existing,Ger
guarantee,guarantees,Pres;Fin
believe,believe,Pres;Fin
take,taken,Part;Pass
achieve,achieving,Ger
guarantee,guarantee,Pres;Fin
incorporate,incorporate,Pres;Fin
promote,promote,Pres;Fin
promote,promoting,Ger
protect,protect,Inf
ensure,ensure,Inf
impose,imposing,Ger
penalize,penalizing,Ger
establish,establishes,Pres;Fin
adopt,adopted,Part;Pass
implement,implemented,Part;Pass
win,wins,Pres;Fin
adopt,adopts,Pres;Fin
develop,develop,Inf
implement,implementing,Ger
reflect,reflected,Part;Pass
increase,increased,Past;Part
consolidate,consolidated,Part;Pass
