form,lemma,upos,feats,frequency,Log_Freq_HAL,I_Mean_RT,qLen
united,unite,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",71,11.316,637.1520869581568,6
look,look,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",67,4.997,739.287265913869,4
experience,experience,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,3.4898,763.6484214324714,10
focus,focus,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",10,3.1761,768.7188132093993,5
have,have,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",291,5.4973,731.200823433802,4
involving,involve,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.3118,782.6886557749036,9
making,make,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",35,4.055,754.5129881129955,6
takes,take,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",22,3.7772,759.0031214749035,5
exploring,explore,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.1461,785.3668958687415,9
inform,inform,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.8096,774.6426212624565,6
describes,describe,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,1.9138,789.1216042199699,9
focusing,focus,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.1553,785.2181945479008,8
preserved,preserve,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,1.9912,787.870573542462,9
built,build,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",23,3.3222,766.3573715817004,5
focused,focus,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,2.6064,777.9269808705908,7
completed,complete,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,2.5933,778.1387186209183,9
report,report,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,3.7411,759.5866125273329,6
provided,provide,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",12,2.705,776.3332906276673,8
viewing,view,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.0414,787.0591815526572,7
assess,assess,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,1.9243,788.9518907559668,6
written,write,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",12,3.3518,765.8789412450824,7
discuss,discuss,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,3.3674,765.6267955271351,7
brings,bring,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,3.2533,767.471015169301,6
established,establish,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,2.6191,777.7217083950824,11
explore,explore,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,2.5024,779.6079523235729,7
using,use,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",55,3.5467,762.7287360894456,5
develops,develop,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.8062,790.8607631463244,8
regarding,regard,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.6365,777.4404689404488,9
gathers,gather,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.5798,794.5201086939701,7
interspersed,intersperse,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.4771,812.343255051695,12
called,call,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",71,4.2391,751.5373453774762,6
determined,determine,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.8274,774.3549165330038,10
studying,study,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",13,2.9948,771.6491990211845,8
offers,offer,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",14,2.5843,778.2841873043495,6
depend,depend,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.7033,776.3607680456488,6
highlighted,highlight,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,0.0,820.0547115922506,11
transform,transform,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.0531,786.8700722641967,9
understand,understand,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",39,4.391,749.0821572648994,10
see,see,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",119,5.1153,737.3751608861018,3
has,have,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",84,4.7622,743.082382232717,3
understood,understand,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,3.2148,768.0932978706453,10
used,use,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",71,4.2443,751.4532968048271,4
are,be,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",106,5.4243,732.380736088299,3
investigate,investigate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,2.6848,776.659787006035,11
evaluated,evaluate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,1.5051,795.7274987664487,9
encouraged,encourage,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.2279,784.0447471682229,10
approach,approach,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,3.0298,771.0834874745078,8
investigated,investigate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.2095,784.3421498099043,12
provides,provide,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",16,2.1399,785.4671076284385,8
offer,offer,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",14,3.581,762.1743387737025,5
play,play,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",25,4.2572,751.2447916919091,4
determining,determine,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.7324,792.0536063504599,11
establish,establish,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,2.5105,779.4770305084849,9
influenced,influence,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.0334,787.1884870490404,10
including,include,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",27,3.148,769.1729987654454,9
shows,show,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,3.3259,766.2975677896231,5
lead,lead,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,3.6281,761.4130526637462,4
improved,improve,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.3636,781.8514026858221,8
pairing,pair,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,7
complement,complement,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.6021,794.1596696228019,10
augment,augment,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.301,799.0264052429261,7
shown,show,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",15,2.8597,773.8328455913564,5
produce,produce,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",11,2.752,775.5736208364158,7
facilitate,facilitate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,1.7076,792.4544533892479,10
quantifying,quantify,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,11
remains,remain,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.9499,772.3749261196353,7
measuring,measure,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.1038,786.0505986808679,9
expanding,expand,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,2.0043,787.6588357921344,9
understanding,understand,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,3.0484,770.7828521954167,13
conducted,conduct,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,2.2148,784.2564849185504,9
enhanced,enhance,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,1.699,792.5934567978599,8
is,be,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",94,5.6624,728.5322812521929,2
define,define,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.5038,779.5853238617059,6
vary,vary,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.6812,792.8811615273125,4
organized,organize,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,2.716,776.1554955701404,9
approximates,approximate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,12
lack,lack,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.9571,772.2585511728905,4
encompassing,encompass,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,0.0,820.0547115922506,12
distributed,distribute,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",5,1.8325,790.4356713269646,11
based,base,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",46,3.1329,769.4170628898688,5
assembling,assemble,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.6232,793.8186263760911,10
tended,tend,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,1.716,792.3186826180455,6
avoid,avoid,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",16,3.0934,770.055508778261,5
assembled,assemble,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.1903,784.652483001224,9
shed,shed,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.749,775.6221103975595,4
evolving,evolve,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.7709,791.4313236491155,8
changing,change,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",11,3.1271,769.5108093747466,8
documents,document,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.6803,776.7325213477505,9
provide,provide,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",19,2.9489,772.3910893066833,7
suffer,suffer,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,3.0603,770.5905102695467,6
inject,inject,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,2.0934,786.2186958261661,6
make,make,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",139,4.8499,741.6648707286158,4
washed,wash,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,2.8567,773.8813351525001,6
masking,mask,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.2788,799.3852279953895,7
present,present,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",8,3.6593,760.9087612278515,7
assemble,assemble,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.2148,784.2564849185504,8
adapted,adapt,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,1.7559,791.6737714548341,7
collecting,collect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,2.5441,778.9339474236752,10
required,require,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",12,2.7388,775.7869749054481,8
do,do,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",135,5.4954,731.231533489193,2
providing,provide,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",7,2.3139,782.6547130821031,9
having,have,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",24,4.1689,752.6720011082391,6
rely,rely,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",6,2.5647,778.6009857704885,4
study,study,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",17,3.3983,765.1273530473547,5
changes,change,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,3.1708,768.8044781007532,7
evaluating,evaluate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",3,1.3222,798.6837456775105,10
meant,mean,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",11,3.7257,759.8355256078706,5
broaden,broaden,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.7076,792.4544533892479,7
improve,improve,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",16,2.617,777.7556510878829,7
applied,apply,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",9,2.4983,779.6742213904694,7
elucidate,elucidate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.8451,806.395202218066,9
relate,relate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",2,2.3856,781.4958125707682,6
benefit,benefit,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",4,2.8651,773.7455643812978,7
recollected,recollect,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.6021,810.3228566707069,11
follows,follow,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",10,2.5705,778.5072392856106,7
begin,begin,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",11,3.4634,764.0751295705361,5
detailing,detail,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,0.0,820.0547115922506,9
demonstrates,demonstrate,VERB,"['Pres', 'Ind', 'Fin', 'Sing', '3']",1,1.4624,796.4176668533942,12
