form,lemma,upos,feats,frequency,Log_Freq_HAL,I_Mean_RT
united,unite,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",71,11.316,637.1520869581568
preserved,preserve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8,1.9912,787.870573542462
built,build,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",23,3.3222,766.3573715817004
focused,focus,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8,2.6064,777.9269808705908
completed,complete,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",7,2.5933,778.1387186209183
provided,provide,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12,2.705,776.3332906276673
written,write,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12,3.3518,765.8789412450824
established,establish,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8,2.6191,777.7217083950824
interspersed,intersperse,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,0.4771,812.343255051695
called,call,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",71,4.2391,751.5373453774762
determined,determine,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6,2.8274,774.3549165330038
highlighted,highlight,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3,0.0,820.0547115922506
understood,understand,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,3.2148,768.0932978706453
used,use,VERB,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Tense': 'Past', 'VerbForm': 'Fin'}",71,4.2443,751.4532968048271
evaluated,evaluate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,1.5051,795.7274987664487
encouraged,encourage,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",6,2.2279,784.0447471682229
investigated,investigate,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",2,2.2095,784.3421498099043
influenced,influence,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",5,2.0334,787.1884870490404
improved,improve,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",2,2.3636,781.8514026858221
shown,show,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",15,2.8597,773.8328455913564
conducted,conduct,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8,2.2148,784.2564849185504
enhanced,enhance,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,1.699,792.5934567978599
organized,organize,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",8,2.716,776.1554955701404
distributed,distribute,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",5,1.8325,790.4356713269646
based,base,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",46,3.1329,769.4170628898688
tended,tend,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3,1.716,792.3186826180455
assembled,assemble,VERB,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin'}",1,2.1903,784.652483001224
shed,shed,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,2.749,775.6221103975595
washed,wash,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",3,2.8567,773.8813351525001
adapted,adapt,VERB,"{'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Pass'}",2,1.7559,791.6737714548341
required,require,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",12,2.7388,775.7869749054481
meant,mean,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",11,3.7257,759.8355256078706
applied,apply,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",9,2.4983,779.6742213904694
recollected,recollect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,0.6021,810.3228566707069
curated,curate,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",1,0.0,820.0547115922506
collected,collect,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",8,2.4683,780.1591170019065
enabled,enable,VERB,"{'Tense': 'Past', 'VerbForm': 'Part'}",3,1.5441,795.0971344715804
